gene	biotype	chr	start	end	strand
MORF4L2	protein_coding	X	103675496	103688158	-
H2BFWT	protein_coding	X	104011147	104013687	-
RAB9B	protein_coding	X	103822322	103832228	-
NRK	protein_coding	X	105822543	105958610	+
FAM199X	protein_coding	X	104166620	104195902	+
ESX1	protein_coding	X	104250038	104254933	-
MAGEA9	protein_coding	X	149781930	149787737	+
ATXN3L	protein_coding	X	13318236	13320399	-
RAB9A	protein_coding	X	13689125	13710506	+
METTL8	protein_coding	2	171317405	171434802	-
TTC21B	protein_coding	2	165857475	165953843	-
NMI	protein_coding	2	151270465	151290057	-
TNFAIP6	protein_coding	2	151357592	151380048	+
ACVR1C	protein_coding	2	157526767	157629005	-
BAZ2B	protein_coding	2	159318979	159616692	-
SLC36A1	protein_coding	5	151437046	151492381	+
LPGAT1	protein_coding	1	211743457	211830772	-
BATF3	protein_coding	1	212686418	212699985	-
G0S2	protein_coding	1	209675420	209676388	+
KCNJ2	protein_coding	17	70168673	70180048	+
RAP2C	protein_coding	X	132203024	132219480	-
EXOSC9	protein_coding	4	121801317	121817021	+
PLA2G12A	protein_coding	4	109709989	109730077	-
B9D2	protein_coding	19	41354421	41364173	-
COQ8B	protein_coding	19	40691529	40718207	-
PFKFB2	protein_coding	1	207034366	207081024	+
C4BPA	protein_coding	1	207104262	207144972	+
C4BPB	protein_coding	1	207088842	207099993	+
ZNF137P	transcribed_unprocessed_pseudogene	19	52588505	52597345	+
RAB38	protein_coding	11	88113242	88175467	-
GPR83	protein_coding	11	94377311	94401419	-
AGO2	protein_coding	8	140520156	140635619	-
MXD4	protein_coding	4	2247432	2262294	-
PMS2P5	unprocessed_pseudogene	7	74894116	74897835	+
CKS2	protein_coding	9	89311198	89316703	+
DAW1	protein_coding	2	227871054	227924344	+
ACSL3	protein_coding	2	222860934	222944639	+
CHPF	protein_coding	2	219538947	219543787	-
DNPEP	protein_coding	2	219373527	219400022	-
INHA	protein_coding	2	219569162	219575713	+
MOGAT1	protein_coding	2	222671786	222709930	+
OBSL1	protein_coding	2	219550729	219571859	-
FAM124B	protein_coding	2	224378698	224402085	-
SLC12A4	protein_coding	16	67943474	67969601	-
ENKD1	protein_coding	16	67662945	67667265	-
MC3R	protein_coding	20	56248732	56249815	+
GCNT7	protein_coding	20	56491492	56525925	-
CTCFL	protein_coding	20	57495966	57525652	-
HMGB1P1	processed_pseudogene	20	57488392	57489027	-
FAM210B	protein_coding	20	56358915	56368663	+
PI3	protein_coding	20	45174876	45176544	+
FAM209A	protein_coding	20	56517187	56526142	+
SNX21	protein_coding	20	45833810	45843275	+
SLPI	protein_coding	20	45252239	45254564	-
WFDC3	protein_coding	20	45747944	45791932	-
TTPAL	protein_coding	20	44475886	44494603	+
PREX1	protein_coding	20	48624252	48827883	-
KCNS1	protein_coding	20	45092310	45101112	-
SLC12A5	protein_coding	20	46021690	46060152	+
ARHGAP40	protein_coding	20	38601934	38651035	+
SDC4	protein_coding	20	45325288	45348424	-
NCOA3	protein_coding	20	47501902	47656877	+
PIGT	protein_coding	20	45416067	45456934	+
SEMG2	protein_coding	20	45221300	45224458	+
MATN4	protein_coding	20	45293445	45308529	-
NCOA5	protein_coding	20	46060985	46089952	-
VAPB	protein_coding	20	58389122	58451101	+
PARD6B	protein_coding	20	50731544	50756795	+
ATP5F1E	protein_coding	20	59025467	59032382	-
CHD6	protein_coding	20	41402101	41618494	-
PLCG1	protein_coding	20	41136960	41196801	+
TOX2	protein_coding	20	43914864	44069616	+
SRSF6	protein_coding	20	43457928	43464247	+
GDAP1L1	protein_coding	20	44247099	44280917	+
GTSF1L	protein_coding	20	43726164	43726998	-
ARFGEF2	protein_coding	20	48921890	49036693	+
ZNFX1	protein_coding	20	49237946	49278426	-
ZNF831	protein_coding	20	59123381	59259113	+
EDN3	protein_coding	20	59300427	59325992	+
CSE1L	protein_coding	20	49046246	49096960	+
TMEM189-UBE2V1	protein_coding	20	50081124	50153637	-
RAB22A	protein_coding	20	58309696	58367507	+
PTGIS	protein_coding	20	49503874	49568146	-
STAU1	protein_coding	20	49113339	49188367	-
CDH26	protein_coding	20	59958427	60034011	+
SNAI1	protein_coding	20	49982999	49988886	+
MOCS3	protein_coding	20	50958826	50963931	+
STX16	protein_coding	20	58651253	58679526	+
PPP4R1L	transcribed_unprocessed_pseudogene	20	58228940	58309439	-
PMEPA1	protein_coding	20	57648392	57711536	-
RNF114	protein_coding	20	49936336	49953892	+
ANKRD60	protein_coding	20	58218495	58228653	-
DDX27	protein_coding	20	49219295	49244077	+
RBPJL	protein_coding	20	45306851	45317824	+
SEMG1	protein_coding	20	45206997	45209772	+
C20orf85	protein_coding	20	58150904	58161150	+
BCAS4	protein_coding	20	50794894	50882676	+
KCNK15	protein_coding	20	44745780	44752313	+
TP53TG5	protein_coding	20	45372563	45407889	-
PCK1	protein_coding	20	57561080	57568112	+
ZBP1	protein_coding	20	57603846	57620576	-
NEURL2	protein_coding	20	45888625	45891287	-
MAGEA10	protein_coding	X	152133310	152138578	-
MTRR	protein_coding	5	7851186	7906025	+
FASTKD3	protein_coding	5	7859159	7869037	-
PEPD	protein_coding	19	33386950	33521794	-
CHST8	protein_coding	19	33621955	33773509	+
IQSEC2	protein_coding	X	53225828	53321350	-
VAMP7	protein_coding	X	155881293	155943769	+
IL9R	protein_coding	X	155997581	156010817	+
XG	protein_coding	X	2752048	2816500	+
STAMBP	protein_coding	2	73828916	73873659	+
NAGK	protein_coding	2	71064344	71079805	+
MCEE	protein_coding	2	71109684	71130239	-
PAIP2B	protein_coding	2	71182739	71227083	-
SNRNP27	protein_coding	2	69893560	69905575	+
MPHOSPH10	protein_coding	2	71130314	71150101	+
IL17C	protein_coding	16	88638591	88640473	+
NDUFB4P12	processed_pseudogene	4	43898962	43899351	+
ATP8A1	protein_coding	4	42408373	42657105	-
USP22	protein_coding	17	20999593	21043760	-
POF1B	protein_coding	X	85277396	85379743	-
HIF3A	protein_coding	19	46297046	46343433	+
ZNF576	protein_coding	19	43596392	43601157	+
IRGC	protein_coding	19	43716010	43720021	+
ZNF45	protein_coding	19	43912629	43935278	-
LYPD3	protein_coding	19	43460787	43465660	-
PSG8	protein_coding	19	42752686	42855691	-
CEACAM8	protein_coding	19	42580241	42595055	-
NDP	protein_coding	X	43948776	43973504	-
USP9X	protein_coding	X	41085635	41236579	+
CRISP2	protein_coding	6	49692358	49713590	-
F13A1	protein_coding	6	6144085	6321013	-
GRM4	protein_coding	6	34018645	34155622	-
TRERF1	protein_coding	6	42224931	42452051	-
PACSIN1	protein_coding	6	34466061	34535231	+
BTN2A2	protein_coding	6	26383096	26394874	+
SIRT5	protein_coding	6	13574529	13615158	+
MRS2	protein_coding	6	24402908	24426194	+
WRNIP1	protein_coding	6	2765414	2786952	+
RRP36	protein_coding	6	43021645	43034156	+
BTN2A3P	transcribed_unprocessed_pseudogene	6	26421391	26432383	+
BTN1A1	protein_coding	6	26501221	26510422	+
SNRPC	protein_coding	6	34757406	34773794	+
SLC17A3	protein_coding	6	25833066	25882286	-
SLC17A1	protein_coding	6	25782897	25832059	-
SERPINB6	protein_coding	6	2948159	2972165	-
XPO5	protein_coding	6	43522330	43576075	-
ABCC10	protein_coding	6	43427366	43450430	+
HIST1H1D	protein_coding	6	26234268	26234933	-
PEX6	protein_coding	6	42963870	42979220	-
NQO2	protein_coding	6	2987987	3028869	+
AL365205.1	protein_coding	6	41780349	41790141	+
OARD1	protein_coding	6	41033627	41097787	-
UNC5CL	protein_coding	6	41026911	41039217	-
AARS2	protein_coding	6	44299654	44313326	-
HIST1H1A	protein_coding	6	26017085	26017732	-
ZNF391	protein_coding	6	27374615	27403904	+
RPS10	protein_coding	6	34417454	34426125	-
MOCS1	protein_coding	6	39899578	39934551	-
HIST1H2BJ	protein_coding	6	27125897	27132750	-
MED20	protein_coding	6	41905354	41921139	-
OR2B6	protein_coding	6	27957241	27958182	+
TBCC	protein_coding	6	42744481	42746096	-
SPDEF	protein_coding	6	34537802	34556333	-
TCP11	protein_coding	6	35118071	35148610	-
MAD2L1BP	protein_coding	6	43629540	43640952	+
APOBEC2	protein_coding	6	41053304	41064511	+
KLHDC3	protein_coding	6	43014103	43021298	+
GNMT	protein_coding	6	42960758	42963880	+
DNAH8	protein_coding	6	38715341	39030529	+
TREM1	protein_coding	6	41267926	41286719	-
MEA1	protein_coding	6	43011143	43016868	-
KLHL31	protein_coding	6	53647901	53665708	-
COL21A1	protein_coding	6	56056590	56394094	-
CDKN1A	protein_coding	6	36676460	36687339	+
SOX4	protein_coding	6	21592768	21598619	+
GLO1	protein_coding	6	38675925	38703141	-
CPNE5	protein_coding	6	36740775	36840002	-
KCNK17	protein_coding	6	39299001	39314553	-
RREB1	protein_coding	6	7107597	7251980	+
SSR1	protein_coding	6	7268306	7347446	-
RIOK1	protein_coding	6	7389496	7418037	+
NRN1	protein_coding	6	5997999	6007605	-
SLC35B3	protein_coding	6	8413068	8435611	-
RPP40	protein_coding	6	4994732	5004063	-
ATXN1	protein_coding	6	16299112	16761491	-
NUP153	protein_coding	6	17615035	17706834	-
DEK	protein_coding	6	18223868	18264823	-
EEF1E1	protein_coding	6	8073360	8102578	-
CRISP1	protein_coding	6	49834257	49877096	-
RUNX2	protein_coding	6	45328157	45664349	+
OPN5	protein_coding	6	47781982	47832780	+
GCM2	protein_coding	6	10873223	10881941	-
LRRFIP1	protein_coding	2	237627576	237813682	+
AC105760.1	antisense	2	237048599	237056167	-
RAB17	protein_coding	2	237574322	237601614	-
CXCL6	protein_coding	4	73836497	73849064	+
EREG	protein_coding	4	74365143	74388751	+
TRIM51	protein_coding	11	55883297	55891810	+
DKFZP434K028	lincRNA	11	61746493	61757655	-
MYRF	protein_coding	11	61752642	61788518	+
SCGB1D2	protein_coding	11	62242210	62244808	+
SCGB2A1	protein_coding	11	62208668	62213939	+
AHNAK	protein_coding	11	62433542	62556235	-
EMC3	protein_coding	3	9962537	10011116	-
SSUH2	protein_coding	3	8619400	8745040	-
WNT1	protein_coding	12	48978453	48981676	+
SH3TC1	protein_coding	4	8182072	8241803	+
CNOT1	protein_coding	16	58519951	58629886	-
LRRC29	protein_coding	16	67207139	67227048	-
BBS2	protein_coding	16	56466836	56520283	-
MT1G	protein_coding	16	56666731	56668065	-
MT2A	protein_coding	16	56608199	56609497	+
C16orf70	protein_coding	16	67109958	67148539	+
GOT2	protein_coding	16	58707131	58734357	-
DOK4	protein_coding	16	57471922	57487327	-
PIWIL1	protein_coding	12	130337887	130372637	+
GPR18	protein_coding	13	99254714	99261744	-
CLYBL	protein_coding	13	99606669	99897134	+
TMTC4	protein_coding	13	100603927	100675093	-
RAP2A	protein_coding	13	97434222	97469128	+
SLC10A2	protein_coding	13	103043998	103066846	-
ABCC4	protein_coding	13	95019829	95301475	-
EFNB2	protein_coding	13	106489731	106535662	-
SOX21	protein_coding	13	94709622	94712399	-
TM9SF2	protein_coding	13	99446311	99564006	+
C17orf53	protein_coding	17	44141906	44162476	+
KIF25	protein_coding	6	167996241	168045089	+
IRF1	protein_coding	5	132481609	132490798	-
UPF3B	protein_coding	X	119805311	119852998	-
RNF113A	protein_coding	X	119870475	119871827	-
SEPT6	protein_coding	X	119615724	119693370	-
TMEM255A	protein_coding	X	120258650	120311556	-
NDUFA1	protein_coding	X	119871487	119876662	+
AMELX	protein_coding	X	11293413	11300761	+
ATP5S	protein_coding	14	50312326	50335558	+
BMP4	protein_coding	14	53949736	53958761	-
PTGER2	protein_coding	14	52314305	52328606	+
AL161781.1	processed_pseudogene	9	37046835	37047237	+
FAM193A	protein_coding	4	2536631	2732565	+
GRK4	protein_coding	4	2963608	3040747	+
SOX9	protein_coding	17	72121020	72126420	+
TEKT3	protein_coding	17	15303811	15341641	-
MYH2	protein_coding	17	10521148	10549957	-
HS3ST3B1	protein_coding	17	14301083	14349404	+
SLC25A35	protein_coding	17	8287763	8295343	-
MRPS7	protein_coding	17	75261674	75266373	+
GGA3	protein_coding	17	75236599	75262363	-
ARMC7	protein_coding	17	75109952	75130265	+
NUP85	protein_coding	17	75205659	75235758	+
SLC25A19	protein_coding	17	75272981	75289510	-
MIF4GD	protein_coding	17	75266228	75271227	-
NT5C	protein_coding	17	75130225	75131795	-
MSTO1	protein_coding	1	155610205	155614967	+
C1orf61	protein_coding	1	156404250	156430701	-
TTF1	protein_coding	9	132375548	132406851	-
GTF3C4	protein_coding	9	132670035	132694955	+
DDX31	protein_coding	9	132592997	132670401	-
BARHL1	protein_coding	9	132582185	132590266	+
KIR2DL1	protein_coding	19	54769811	54784322	+
PPP1R12C	protein_coding	19	55090913	55117559	-
MBOAT7	protein_coding	19	54173412	54189882	-
SRMS	protein_coding	20	63540810	63547504	-
OPRL1	protein_coding	20	64080173	64100643	+
LINC00029	lincRNA	20	63034217	63037028	-
SLC2A4RG	protein_coding	20	63739861	63743505	+
NPBWR2	protein_coding	20	64105820	64107171	-
FNDC11	protein_coding	20	63547891	63556708	+
BHLHE23	protein_coding	20	63005927	63007035	-
PPDPF	protein_coding	20	63520724	63522206	+
IL1B	protein_coding	2	112829751	112836903	-
PLGLB2	protein_coding	2	87748087	87758793	+
IL37	protein_coding	2	112912971	112918882	+
CHCHD5	protein_coding	2	112584240	112589275	+
PAX8	protein_coding	2	113215997	113278950	-
INSIG2	protein_coding	2	118088452	118110997	+
POLR1B	protein_coding	2	112541915	112577150	+
HTR5BP	transcribed_unprocessed_pseudogene	2	117859427	117934942	+
CCDC93	protein_coding	2	117915478	118014133	-
PSD4	protein_coding	2	113157325	113209396	+
SLC25A23	protein_coding	19	6436079	6465203	-
PSPN	protein_coding	19	6375148	6379058	-
GTF2F1	protein_coding	19	6379569	6393981	-
ALKBH7	protein_coding	19	6372433	6375251	+
CLPP	protein_coding	19	6361452	6368910	+
TNFSF9	protein_coding	19	6530999	6535928	+
GRIA3	protein_coding	X	123184153	123490915	+
THOC2	protein_coding	X	123600561	123733056	-
MED1	protein_coding	17	39404285	39451286	-
RPL23	protein_coding	17	38847865	38853843	-
AC046185.1	protein_coding	17	63702845	63752097	-
ATG4C	protein_coding	1	62784135	62865513	+
CD70	protein_coding	19	6583183	6604103	-
C3	protein_coding	19	6677704	6730562	-
SH2D3A	protein_coding	19	6752160	6767588	-
TRIP10	protein_coding	19	6737925	6751526	+
GPR108	protein_coding	19	6729914	6737603	-
TNFSF14	protein_coding	19	6661253	6670588	-
FOSB	protein_coding	19	45467995	45475179	+
OPA3	protein_coding	19	45527427	45602212	-
SNRPD2	protein_coding	19	45687454	45692569	-
RTN2	protein_coding	19	45485289	45497061	-
EML2	protein_coding	19	45606994	45645629	-
VASP	protein_coding	19	45506579	45526983	+
SYMPK	protein_coding	19	45815410	45863290	-
GPCPD1	protein_coding	20	5544404	5611026	-
SDCBP2	protein_coding	20	1309909	1329239	-
PANK2	protein_coding	20	3888839	3929882	+
TGM3	protein_coding	20	2296001	2341078	+
GNRH2	protein_coding	20	3043622	3045747	+
DEFB126	protein_coding	20	142369	145751	+
FOXA2	protein_coding	20	22581005	22585455	-
FAM182A	processed_transcript	20	26054655	26086917	+
CD93	protein_coding	20	23079349	23086340	-
GZF1	protein_coding	20	23362182	23373063	+
PAX1	protein_coding	20	21705659	21718486	+
NAPB	protein_coding	20	23374519	23421519	-
CST8	protein_coding	20	23491101	23496018	+
NKX2-4	protein_coding	20	21395367	21398028	-
CENPB	protein_coding	20	3783851	3786690	-
PSMF1	protein_coding	20	1113263	1189415	+
NKX2-2	protein_coding	20	21511010	21514026	-
DTD1	protein_coding	20	18587893	18766644	+
CSTL1	protein_coding	20	23439685	23444930	+
RBCK1	protein_coding	20	407498	430966	+
TMX4	protein_coding	20	7977348	8019829	-
CST11	protein_coding	20	23450403	23452857	-
STK35	protein_coding	20	2101611	2177038	+
SNRPB	protein_coding	20	2461634	2470853	-
NRSN2	protein_coding	20	346782	359660	+
AP5S1	protein_coding	20	3820524	3828837	+
RRBP1	protein_coding	20	17613678	17682295	-
BMP2	protein_coding	20	6767664	6780280	+
ZNF133	protein_coding	20	18288283	18316996	+
FLRT3	protein_coding	20	14322988	14337616	-
OVOL2	protein_coding	20	17956979	18059188	-
PCSK2	protein_coding	20	17226107	17484578	+
GFRA4	protein_coding	20	3659292	3663399	-
MKKS	protein_coding	20	10401009	10434222	-
BFSP1	protein_coding	20	17493905	17569220	-
DSTN	protein_coding	20	17569863	17609919	+
LAMP5	protein_coding	20	9514358	9530524	+
SNRPB2	protein_coding	20	16729961	16742563	+
MGME1	protein_coding	20	17968913	17991122	+
LRRN4	protein_coding	20	6040778	6054049	-
TBC1D20	protein_coding	20	435480	462553	-
ITPA	protein_coding	20	3208868	3223870	+
TCF15	protein_coding	20	603797	610398	-
OTOR	protein_coding	20	16748358	16770062	+
MCM8	protein_coding	20	5950652	5998977	+
BANF2	protein_coding	20	17693672	17735871	+
TMEM74B	protein_coding	20	1180561	1185415	-
FAM110A	protein_coding	20	833715	857463	+
C20orf187	lincRNA	20	11027760	11029366	+
SIRPD	protein_coding	20	1534251	1558843	-
MRPS26	protein_coding	20	3045945	3048254	+
DEFB129	protein_coding	20	227258	229886	+
S1PR4	protein_coding	19	3172346	3180332	+
NCLN	protein_coding	19	3185563	3209575	+
CITED1	protein_coding	X	72301638	72307187	-
HNRNPR	protein_coding	1	23303771	23344336	-
ZNF436	protein_coding	1	23359448	23369442	-
MAX	protein_coding	14	65006174	65102695	-
CHURC1-FNTB	protein_coding	14	64914485	65061803	+
ARMCX5	protein_coding	X	102599168	102604159	+
GDF5	protein_coding	20	35433347	35454746	-
MMP24	protein_coding	20	35226654	35277000	+
NECAB3	protein_coding	20	33657087	33674463	-
ID1	protein_coding	20	31605283	31606515	+
RALY	protein_coding	20	33993646	34108308	+
DYNLRB1	protein_coding	20	34516409	34540958	+
C20orf173	protein_coding	20	35523186	35529652	-
EIF2S2	protein_coding	20	34088298	34112332	-
ERGIC3	protein_coding	20	35542021	35557634	+
ROMO1	protein_coding	20	35699272	35700984	+
BPIFB9P	transcribed_unitary_pseudogene	20	33347720	33354444	+
FAM83C	protein_coding	20	35285731	35292401	-
BPIFB1	protein_coding	20	33273480	33309878	+
CEP250	protein_coding	20	35455164	35519280	+
PLAGL2	protein_coding	20	32192503	32207791	-
MMP24OS	protein_coding	20	35201745	35278131	-
GRPR	protein_coding	X	16123556	16153021	+
KDM5C	protein_coding	X	53191321	53225422	-
AMOT	protein_coding	X	112774503	112840815	-
TMEM115	protein_coding	3	50354749	50359610	-
PSMB2	protein_coding	1	35599544	35641844	-
AGO3	protein_coding	1	35930718	36072500	+
UROD	protein_coding	1	45012147	45015575	+
ST3GAL3	protein_coding	1	43705824	43931165	+
TMEM53	protein_coding	1	44635238	44674555	-
HECTD3	protein_coding	1	45002540	45011329	-
KLC1	protein_coding	14	103561896	103714249	+
XRCC3	protein_coding	14	103697609	103715504	-
TUBGCP3	protein_coding	13	112485005	112588167	-
MCF2L	protein_coding	13	112894378	113099739	+
F10	protein_coding	13	113122814	113149529	+
PCID2	protein_coding	13	113177539	113208715	-
PROZ	protein_coding	13	113158654	113172383	+
SLURP1	protein_coding	8	142740944	142742411	-
LRFN3	protein_coding	19	35935358	35945767	+
IGFLR1	protein_coding	19	35738801	35742453	-
CAPNS1	protein_coding	19	36139575	36150353	+
PDCD2L	protein_coding	19	34404384	34426168	+
GPR42	protein_coding	19	35370929	35372962	+
RBM42	protein_coding	19	35629030	35637686	+
KIRREL2	protein_coding	19	35855861	35867109	+
UBA2	protein_coding	19	34428352	34471251	+
FFAR2	protein_coding	19	35443907	35451767	+
HCST	protein_coding	19	35902480	35904377	+
FFAR1	protein_coding	19	35351552	35353862	+
COX6B1	protein_coding	19	35648223	35658861	+
KRT36	protein_coding	17	41486136	41492546	-
THRA	protein_coding	17	40058290	40093867	+
CCR7	protein_coding	17	40553769	40565472	-
NR1D1	protein_coding	17	40092787	40100725	-
FRMD8	protein_coding	11	65386599	65413525	+
PRDX5	protein_coding	11	64318088	64321811	+
BCL2L12	protein_coding	19	49665142	49673916	+
IRF3	protein_coding	19	49659569	49665875	-
PRMT1	protein_coding	19	49675786	49689029	+
RRAS	protein_coding	19	49635292	49640201	-
PRRG2	protein_coding	19	49580646	49591015	+
SCAF1	protein_coding	19	49642125	49658642	+
PRR12	protein_coding	19	49591643	49626439	+
TSKS	protein_coding	19	49739753	49763330	-
FLRT1	protein_coding	11	64103188	64119173	+
ASL	protein_coding	7	66075798	66093558	+
SBDS	protein_coding	7	66987677	66995601	-
CSN1S1	protein_coding	4	69931081	69946574	+
STATH	protein_coding	4	69995930	70002570	+
HTN1	protein_coding	4	70050402	70058845	+
STAT5A	protein_coding	17	42287547	42311943	+
WNK4	protein_coding	17	42780678	42796936	+
BECN1	protein_coding	17	42810134	42833350	-
PRKCG	protein_coding	19	53879190	53907652	+
TRAP1	protein_coding	16	3651639	3717597	-
GLIS2	protein_coding	16	4314761	4339597	+
NSRP1	protein_coding	17	30115521	30186475	+
DNAJC8	protein_coding	1	28199456	28233025	-
AHDC1	protein_coding	1	27534035	27604431	-
IFI6	protein_coding	1	27666061	27672218	-
DACH2	protein_coding	X	86148458	86832604	+
ZNF384	protein_coding	12	6666477	6689572	-
EMG1	protein_coding	12	6970893	6979941	+
SSX1	protein_coding	X	48255317	48267444	+
UXT	protein_coding	X	47651798	47659161	-
CFP	protein_coding	X	47623172	47630305	-
ELK1	protein_coding	X	47635521	47650604	-
TIMM17B	protein_coding	X	48893447	48898143	-
PCNX4	protein_coding	14	60091911	60169133	+
ATG14	protein_coding	14	55366392	55411858	-
KTN1	protein_coding	14	55559072	55701526	+
SIX1	protein_coding	14	60643415	60658259	-
RHOJ	protein_coding	14	63204114	63293219	+
DLGAP5	protein_coding	14	55148112	55191678	-
L3HYPDH	protein_coding	14	59460363	59484430	-
HSPA2	protein_coding	14	64535905	64546173	+
ZBTB1	protein_coding	14	64503712	64533690	+
TRMT5	protein_coding	14	60971451	60981358	-
SGPP1	protein_coding	14	63684214	63728039	-
PLEKHG3	protein_coding	14	64704102	64750247	+
PZP	protein_coding	12	9148840	9208370	-
PRDM7	protein_coding	16	90056566	90092072	-
RHOT1	protein_coding	17	32142454	32253374	+
EVI2A	protein_coding	17	31317560	31321884	-
OMG	protein_coding	17	31272013	31297539	-
WDR60	protein_coding	7	158856578	158956747	+
AIF1L	protein_coding	9	131096476	131123152	+
FAM78A	protein_coding	9	131258076	131276547	-
NUP214	protein_coding	9	131125561	131234670	+
CTAG2	protein_coding	X	154651972	154653579	-
AVPR2	protein_coding	X	153902531	153907166	+
SLC10A3	protein_coding	X	154487306	154490690	-
MAP2K2	protein_coding	19	4090321	4124129	-
HNRNPH2	protein_coding	X	101408295	101414133	+
ARMCX1	protein_coding	X	101550531	101554700	+
TMEM35A	protein_coding	X	101078720	101096364	+
NXF5	protein_coding	X	101832112	101857577	-
TIMM8A	protein_coding	X	101345659	101349196	-
ZC4H2	protein_coding	X	64915802	65034713	-
CANX	protein_coding	5	179678628	179730925	+
INTS11	protein_coding	1	1311585	1324691	-
RGS13	protein_coding	1	192636138	192660306	+
IPPK	protein_coding	9	92613184	92670265	-
ZNF484	protein_coding	9	92845031	92878038	-
OMD	protein_coding	9	92414245	92424461	-
FGD3	protein_coding	9	92947451	93036236	+
HIVEP3	protein_coding	1	41506365	42035925	-
PPCS	protein_coding	1	42456117	42473385	+
EDN2	protein_coding	1	41478775	41484673	-
BCL11B	protein_coding	14	99169287	99271524	-
COX7C	protein_coding	5	86617904	86620962	+
TRAF2	protein_coding	9	136881912	136926607	+
ABHD8	protein_coding	19	17292131	17310236	-
MASP1	protein_coding	3	187217285	187292022	-
ATP13A4	protein_coding	3	193402077	193593111	-
HRASLS	protein_coding	3	193241125	193277738	+
HELB	protein_coding	12	66302545	66347645	+
RAP1B	protein_coding	12	68610839	68671901	+
IL22	protein_coding	12	68248242	68253607	-
TSPAN8	protein_coding	12	71125085	71441898	-
BEST3	protein_coding	12	69643360	69699476	-
RAB3IP	protein_coding	12	69738681	69823204	+
PTPRB	protein_coding	12	70515866	70637440	-
DYRK2	protein_coding	12	67648338	67665406	+
YEATS4	protein_coding	12	69359703	69390796	+
TAS2R3	protein_coding	7	141764097	141765197	+
TAS2R4	protein_coding	7	141778442	141780819	+
TAS2R5	protein_coding	7	141790217	141791367	+
CRYGN	protein_coding	7	151428835	151440813	-
LRRC61	protein_coding	7	150322639	150338150	+
TRPV5	protein_coding	7	142908101	142933808	-
IDUA	protein_coding	4	986997	1004506	+
FGFRL1	protein_coding	4	1009936	1026897	+
TMEM175	protein_coding	4	932387	958656	+
AUNIP	protein_coding	1	25831913	25859458	-
PIN1	protein_coding	19	9835257	9849682	+
FBXL12	protein_coding	19	9810267	9827816	-
EMC1	protein_coding	1	19215664	19251552	-
PLA2G5	protein_coding	1	20028179	20091190	+
UBR4	protein_coding	1	19074506	19210276	-
HP1BP3	protein_coding	1	20742661	20787323	-
ADGRE2	protein_coding	19	14732393	14778541	-
SIN3B	protein_coding	19	16829400	16880353	+
OR7A10	protein_coding	19	14840466	14848922	-
SLC35E1	protein_coding	19	16549831	16572382	-
EPS15L1	protein_coding	19	16355239	16472085	-
KLF2	protein_coding	19	16324817	16327874	+
OR7C2	protein_coding	19	14941489	14942448	+
OR7C1	protein_coding	19	14789260	14835376	-
F2RL3	protein_coding	19	16888860	16892606	+
UQCR11	protein_coding	19	1597172	1605490	-
GFER	protein_coding	16	1984207	1987749	+
SYNGR3	protein_coding	16	1989660	1994275	+
PKMYT1	protein_coding	16	2968024	2980539	-
WFIKKN1	protein_coding	16	629239	634116	+
WDR24	protein_coding	16	684622	690444	-
FBXL16	protein_coding	16	692498	705829	-
CHTF18	protein_coding	16	788046	800737	+
GNG13	protein_coding	16	798041	800733	-
TUBBP1	transcribed_processed_pseudogene	8	30351873	30353518	+
MACF1	protein_coding	1	39081316	39487177	+
SMARCA4	protein_coding	19	10960825	11079426	+
KDM4B	protein_coding	19	4969113	5153595	+
TICAM1	protein_coding	19	4815932	4831704	-
METTL25	protein_coding	12	82358497	82479236	+
IL17B	protein_coding	5	149371324	149404202	-
EMC6	protein_coding	17	3668815	3669668	+
OR1E2	protein_coding	17	3432870	3433841	-
METTL16	protein_coding	17	2405562	2511891	-
TUBA4A	protein_coding	2	219249711	219278170	-
VIL1	protein_coding	2	218419092	218453295	+
AAMP	protein_coding	2	218264123	218270257	-
PNKD	protein_coding	2	218270392	218346793	+
TNFRSF19	protein_coding	13	23570370	23676104	+
RNF6	protein_coding	13	26132115	26222493	-
ECHS1	protein_coding	10	133362480	133373689	-
ZNF835	protein_coding	19	56661981	56671783	-
AKAP9	protein_coding	7	91940867	92110673	+
GNG11	protein_coding	7	93921699	93928610	+
SEM1	protein_coding	7	96481626	96709891	-
GNGT1	protein_coding	7	93591573	93911265	+
HIP1	protein_coding	7	75533300	75738962	-
PTPN12	protein_coding	7	77537275	77640071	+
POR	protein_coding	7	75899200	75986855	+
FGL2	protein_coding	7	77193371	77199848	-
STYXL1	protein_coding	7	75996338	76048004	-
STEAP4	protein_coding	7	88270892	88306891	-
GNAI1	protein_coding	7	80133955	80219402	+
PMS2P3	transcribed_unprocessed_pseudogene	7	75502930	75528148	-
PEX1	protein_coding	7	92487020	92528531	-
MTERF1	protein_coding	7	91692008	91880720	-
SGCE	protein_coding	7	94524204	94656572	-
RBM48	protein_coding	7	92528773	92538005	+
CASD1	protein_coding	7	94509219	94557019	+
ZNF780B	protein_coding	19	40028260	40056209	-
LRFN1	protein_coding	19	39306568	39315336	-
ZFP36	protein_coding	19	39406813	39409412	+
SRD5A3	protein_coding	4	55346109	55373096	+
SPINK2	protein_coding	4	56809860	56821742	-
RASL11B	protein_coding	4	52862290	52866835	+
